PORT,COMNAME
"BOSTON, MA",Atlantic cod
"BOSTON, MA",Pollock
"BOSTON, MA",Acadian redfish
"BOSTON, MA",Haddock
"BOSTON, MA",Monkfish
"BOSTON, MA",American lobster
"CAPE MAY, NJ",Atlantic menhaden
"CAPE MAY, NJ",Shortfin squid
"CAPE MAY, NJ",Atlantic mackerel
"CAPE MAY, NJ",Sea scallop
"CAPE MAY, NJ",Longfin squid
"CAPE MAY, NJ",Scup
"CHATHAM, MA",Spiny dogfish
"CHATHAM, MA",Atlantic cod
"CHATHAM, MA",Winter skate
"CHATHAM, MA",Monkfish
"CHATHAM, MA",American lobster
"CHATHAM, MA",Pollock
"GLOUCESTER, MA",Atlantic herring
"GLOUCESTER, MA",Atlantic cod
"GLOUCESTER, MA",Haddock
"GLOUCESTER, MA",Silver hake
"GLOUCESTER, MA",Spiny dogfish
"GLOUCESTER, MA",American lobster
"MONTAUK, NY",Longfin squid
"MONTAUK, NY",Silver hake
"MONTAUK, NY",Scup
"MONTAUK, NY",Summer flounder
"MONTAUK, NY",Butterfish
"MONTAUK, NY",Monkfish
"NEW BEDFORD, MA",Sea scallop
"NEW BEDFORD, MA",Atlantic herring
"NEW BEDFORD, MA",Ocean quahog clam
"NEW BEDFORD, MA",Atlantic cod
"NEW BEDFORD, MA",Surf clam
"NEW BEDFORD, MA",Monkfish
"NEW LONDON, CT",Silver hake
"NEW LONDON, CT",Longfin squid
"NEW LONDON, CT",Monkfish
"NEW LONDON, CT",Sea scallop
"NEW LONDON, CT",Scup
"NEW LONDON, CT",Red hake
"NEWPORT NEWS, VA",Sea scallop
"NEWPORT NEWS, VA",Summer flounder
"NEWPORT NEWS, VA",Black sea bass
"NEWPORT, RI",American lobster
"NEWPORT, RI",Jonah crab
"NEWPORT, RI",Monkfish
"POINT JUDITH, RI",Longfin squid
"POINT JUDITH, RI",Silver hake
"POINT JUDITH, RI",Atlantic herring
"POINT JUDITH, RI",Scup
"POINT JUDITH, RI",American lobster
"POINT JUDITH, RI",Summer flounder
"POINT PLEASANT, NJ",Ocean quahog clam
"POINT PLEASANT, NJ",Surf clam
"POINT PLEASANT, NJ",Silver hake
"POINT PLEASANT, NJ",Longfin squid
"POINT PLEASANT, NJ",Sea scallop
"POINT PLEASANT, NJ",Summer flounder
"PORTLAND, ME",Atlantic herring
"PORTLAND, ME",American lobster
"PORTLAND, ME",Pollock
"PORTLAND, ME",Atlantic cod
"PORTLAND, ME",American plaice
"PORTLAND, ME",Monkfish
"PORTSMOUTH, NH",American lobster
"PORTSMOUTH, NH",Pollock
"PORTSMOUTH, NH",Atlantic cod
"PORTSMOUTH, NH",Spiny dogfish
"PORTSMOUTH, NH",Monkfish
"PORTSMOUTH, NH",White hake
"SCITUATE, MA",Spiny dogfish
"SCITUATE, MA",American lobster
"SCITUATE, MA",Atlantic cod
"SCITUATE, MA",Yellowtail flounder
"SCITUATE, MA",Monkfish
"SCITUATE, MA",Winter flounder
"STONINGTON, CT",Sea scallop
"STONINGTON, CT",Longfin squid
"STONINGTON, CT",Scup
"STONINGTON, CT",Silver hake
"STONINGTON, CT",Summer flounder
"STONINGTON, CT",American lobster
"STONINGTON, ME",American lobster
"STONINGTON, ME",Atlantic herring
"STONINGTON, ME",Rock crab